Area,Item,Year,Area harvested (ha),Production (tonnes),Calories (100gr),Protein,Carbohydrates,Fats,Fiber,Vitamin A,Vitamin K,Vtamin C,Vitamin B-3,Vitamin B-9,Calcium,Iron,Potasium,Magnesium,phosphorus,Sodium,Zinc,Selenium,Manganese,Annual Consumption Percapita,Daily Consuption Percapita
Mexico,Tomatoes,2019,87917,4271914,23,1.2,5.1,0,1.1,642,10.1,23.4,,9,13,,204,10,28,13,,,,15.2,0.041643836
Mexico,Triticale,2019,8197,23039,,,,,,,,,,,,,,,,,,,,,
Mexico,Vanilla,2019,862,522,,,,,,,,,,,,,,,,,,,,,
Mexico,"Vegetables, fresh nes",2019,104915,896078,,,,,,,,,,,,,,,,,,,,,
Mexico,"Vegetables, leguminous nes",2019,11397,71785,,,,,,,,,,,,,,,,,,,,,
Mexico,Vetches,2019,7774,97230,,,,,,,,,,,,,,,,,,,,,
Mexico,"Walnuts, with shell",2019,102068,171368,,,,,,,,,,,,,,,,,,,,,
Mexico,Watermelons,2019,39347,1345705,,,,,,,,,,,,,,,,,,,,,
Mexico,Wheat,2019,586543,3244062,340,13.21,72,2.5,10.7,9,1.9,,5,44,34,3.6,363,137,357,2,2.6,61.8,4.06,64,0.175342466
Mexico,Yautia (cocoyam),2019,482,36128,,,,,,,,,,,,,,,,,,,,,
